ID_Venta,Fecha,Producto,Cantidad,Precio_Unitario,Total,Ciudad
51,2026-07-06,Camiseta,39656.0,64374,2552815344,Cartagena
52,2026-07-13,Zapatos,55238.0,84040,4642201520,Medellín
53,2026-07-22,Vestido,41440.0,70168,2907761920,Medellín
54,2026-07-23,Camiseta,36958.0,72100,2664671800,Cali
55,2026-07-29,Camiseta,52737.0,28853,1521620661,Medellín
56,2026-08-06,Jeans,48026.0,71367,3427471542,Cali
57,2026-08-07,Jeans,85301.0,49788,4246966188,Cali
58,2026-08-18,Camiseta,59815.0,39750,2377646250,Medellín
59,2026-08-22,Jeans,22828.0,39673,905655244,Medellín
60,2026-08-23,Vestido,55211.0,65249,3602462539,Cartagena
61,2026-08-25,Zapatos,46114.0,22211,1024238054,Cali
62,2026-08-30,Jeans,56793.0,36728,2085893304,Cali
63,2026-09-06,Vestido,73240.0,43886,3214210640,Medellín
64,2026-09-10,Jeans,82253.0,49227,4049068431,Bogotá
65,2026-09-19,Vestido,71516.0,36741,2627569356,Medellín
66,2026-09-21,Vestido,83090.0,21235,1764416150,Pereira
67,2026-09-24,Jeans,34081.0,31932,1088274492,Cartagena
68,2026-09-27,Zapatos,87281.0,73265,6394642465,Cali
69,2026-09-30,Vestido,48756.0,51844,2527706064,Cali
70,2026-10-01,Vestido,41438.0,44850,1858494300,Bogotá
